X,Y,Z,Atom,Element
0.8918096853602383,1.2779792170492632,-1.9915168759407942,1,8
-0.46983976345739037,0.25684000530848755,-0.2984237277885916,2,6
-0.4360523528510218,-1.1560827298051692,0.26936786369303173,3,6
-1.6524344049332473,-0.6537689315270327,-0.46179539661359487,4,6
-0.6181223868205329,1.3896688808296598,0.662918646349487,5,6
0.6731938500980124,-1.7880061556276206,-0.4713336158468664,6,6
0.6133510691084569,0.3064599008417415,-1.3121549671514765,7,6
1.3047394580045586,-0.9997481347286961,-1.3539416861208227,8,6
-0.9092370480142026,2.716414656685316,-0.06284510129300348,9,6
0.624454687508356,1.551041222042657,1.5554706205410733,10,6
1.0566705271739694,-3.1984428454361558,-0.2324506112862339,11,6
-0.4746265250515963,-1.301940748968788,1.3432391035404196,12,1
-2.548148270411989,-0.46779128115279733,0.12312765811638206,13,1
-1.8813349714929901,-1.060565972937595,-1.4266411127262493,14,1
-1.466259563176642,1.1981606775264044,1.333047685085586,15,1
2.1648715167434593,-1.2313587462897082,-1.9663448922465139,16,1
-1.7294065041643203,2.600413516795427,-0.7824363296465984,17,1
-0.03509369236084452,3.0938005070001418,-0.6005763850127565,18,1
-1.1962953337485436,3.4881182168126235,0.6546917870731346,19,1
0.8343648161872605,0.6367427008974145,2.1199000637999443,20,1
1.5152629460792673,1.7783879866813528,0.9669559152743439,21,1
0.4737491464827569,2.364342515229325,2.274432032263012,22,1
1.2372603662412462,-3.387720040944012,0.7811788587863331,23,1
0.15995349389759725,-3.8743172938282524,-0.2697029457522763,24,1
1.8671692535981412,-3.5386271224539882,-0.854166587096971,25,1
